DT;DTBA;DTSC;Biblioteques;Centres_Especialitats;Centres_Joventut;Centres_Majors;Policia;Centres_Salut_Consultoris;Centres_Servicis_Socials;Centres_Edu_Infantil;Centres_Edu_Obligatoria;Centres_Edu_PostObligatoria;Hospitals;Esports;Metrovalencia;EMT;Valenbisi;Biblioteques_categories;Centres_Especialitats_categories;Centres_Joventut_categories;Centres_Majors_categories;Policia_categories;Centres_Salut_Consultoris_categories;Centres_Servicis_Socials_categories;Centres_Edu_Infantil_categories;Centres_Edu_Obligatoria_categories;Centres_Edu_PostObligatoria_categories;Hospitals_categories;Esports_categories;Metrovalencia_categories;EMT_categories;Valenbisi_categories;Zones verdes;Zones verdes_categories;Densitat_poblacio;Var_poblacio_2015_2019;Perc_pob_dependent;Perc_poblacio_extracomunitaria;Perc_majors_80;Perc_majors_65_soles;Perc_menors_18;DTSC_categories;Densitat_poblacio_categories;Var_poblacio_2015_2019_categories;Perc_pob_dependent_categories;Perc_poblacio_extracomunitaria_categories;Perc_majors_80_categories;Perc_majors_65_soles_categories;Perc_menors_18_categories;niv_educatiu_baix;turismes_edat_mitjana;turismes_15_anys;turismes_potencia_16_CV;habitatge_valor_cadastral;habitatge_superficie_mitjana;habitatge_edat_mitjana;IAE;atur_16_64;renda_mitjana;risc_pobresa;niv_educatiu_baix_categories;turismes_edat_mitjana_categories;turismes_15_anys_categories;turismes_potencia_16_CV_categories;habitatge_valor_cadastral_categories;habitatge_superficie_mitjana_categories;habitatge_edat_mitjana_categories;IAE_categories;atur_16_64_categories;renda_mitjana_categories;risc_pobresa_categories;Index_Eq_Salut;Index_Eq_Transport;Index_Eq_Educacio;Index_Eq_Pob_Risc;Index_Eq_Altres;Index_Demografia;Index_SocEc_Niv_Educatiu;Index_SocEc_Turismes;Index_SocEc_Habitatge;Index_SocEc_Act_Economica;Index_SocEc_Atur;Index_SocEc_Renda;Index_Equipamiento;Index_Socioeconomia;Index_Global;Index_Equipamiento_Resum;Index_Demografia_Resum;Index_Socioeconomia_Resum;Index_Global_Resum
1;11;101;141,7660208;1449,983439;498,0193424;172,0786438;583,0058708;208,5607319;484,9823011;256,5993036;299,7863803;275,4346387;2917,11978;502,2032622;194,0797802;22,73771093;101,929228;5;3;3;4;4;4;4;2;2;3;2;2;4;2;4;101;3;11032,0139;6,896551724;47,87985866;6,810035842;4,898446834;8,363201912;13,26164875;5;4;5;4;3;4;1;4;5,23415978;12,4054878;33,84146341;11,2804878;502,0121701;128,1309524;75,97470238;550,776583;5,830388693;16803;16,5;5;3;2;5;4;4;1;5;5;4;4;3;3,333333333;2,333333333;3,666666667;3,5;3,571428571;5;3,333333333;3;5;5;4;3,166666667;4,222222222;3,653439153; ; ; ; 
1;11;102;146,8423615;1297,348546;308,3446256;260,1718358;402,3617393;338,0539595;295,0195525;323,0587318;331,8060045;171,694231;2777,871323;419,9321823;191,2281175;43,20167705;131,7433152;5;3;4;4;4;3;4;2;2;4;2;2;4;1;3;59;2;16759,5043;4,203323558;47,85020804;9,5684803;5,722326454;6,285178236;16,13508443;5;4;4;4;3;4;3;3;8,724832215;13,27689243;35,85657371;5,976095618;463,6863468;127,7004049;73,83063428;390,2439024;7,905686546;17238;15,7;4;2;2;4;4;4;1;5;4;5;4;2,666666667;2,666666667;2,666666667;4;3,25;3,571428571;4;2,666666667;3;5;4;4,5;3,05;3,861111111;3,494179894; ; ; ; 
1;11;103;259,7728673;1562,511019;458,8167302;330,9022711;510,4166024;297,5799168;464,1182778;150,4580117;154,1504535;143,1035312;3049,582017;280,4569391;210,3404086;21,43650973;125,0507706;4;3;3;3;4;4;4;3;4;4;2;3;4;2;4;124;3;13603,458;7,142857143;51,22615804;8,468468468;8,738738739;6,576576577;12,88288288;5;4;5;4;3;2;2;4;7,962771458;12,07880435;27,98913043;5,97826087;472,9273938;122,6625173;70,36583679;276,5765766;8,174386921;18087;12,7;4;3;4;4;4;4;1;5;4;5;4;3;3,333333333;3,666666667;3,333333333;3,5;3,428571429;4;3,666666667;3;5;4;4,5;3,366666667;4,027777778;3,607671958; ; ; ; 
1;12;105;129,9041977;1611,861993;555,6262253;146,050031;725,6532304;144,7758106;664,9992211;150,6681596;187,8746985;373,9513323;3064,774713;513,4243144;164,4550764;23,54071802;159,1911801;5;3;3;4;3;5;3;3;3;2;2;2;4;2;2;44;2;13044,6008;5,758683729;63,4180791;7,346585998;9,59377701;6,741573034;14,08815903;5;4;4;2;3;2;2;4;10,56338028;12,52050114;29,38496583;9,567198178;472,0402124;140,6361355;75,6706399;657,7355229;4,519774011;16753;18,5;4;2;3;5;4;5;1;5;5;4;3;3,333333333;2,666666667;2,666666667;3,333333333;3;3;4;3,333333333;3,333333333;5;5;3,5;3;4,027777778;3,342592593; ; ; ; 
1;12;107;284,7078341;1601,034143;402,7683258;313,524568;760,0542834;369,2862475;812,9466928;360,3213725;365,5909413;551,4229992;3007,496959;524,3982681;159,2859981;17,64130585;100,6144839;4;3;3;3;3;3;3;1;1;2;2;2;4;2;4;52;2;12959,6321;1,360544218;54,88565489;6,711409396;6,308724832;8,859060403;13,55704698;5;4;3;3;3;3;1;4;6,677018634;12,88338658;30,03194888;13,41853035;553,4090036;138,5447871;74,84801762;1040,268456;6,860706861;23251;12,6;5;2;3;5;4;5;1;5;4;5;4;2,666666667;3,333333333;1,333333333;3;2,75;3;5;3,333333333;3,333333333;5;4;4,5;2,616666667;4,194444444;3,27037037;Pot. Vulnerable; ; ; 
1;12;108;122,4253706;1775,493881;445,1841106;289,8299055;658,2558249;243,4837159;828,4848087;178,5138101;137,9809966;439,9877307;3219,467595;368,3051837;120,4972501;24,99636025;122,2037;5;3;3;3;3;4;3;3;4;2;2;3;5;2;4;63;2;18863,9862;-3,203203203;49,22839506;12,20268873;5,997931748;7,238883144;14,68459152;5;4;2;4;2;3;2;3;14,18181818;11,60714286;26,92307692;10,71428571;450,5153971;124,946027;73,16866567;373,319545;5,555555556;16222;20,8;4;4;4;5;4;4;1;5;5;4;3;3;3,666666667;3;3;3,25;2,857142857;4;4,333333333;3;5;5;3,5;3,183333333;4,138888889;3,393121693; ; ; ; 
1;12;109;200,6761279;1982,133151;305,443714;470,9172284;436,1238379;467,0556012;1062,266139;374,272903;333,5861768;424,8271541;3405,491102;155,2874396;67,83100275;11,23142267;131,1823323;4;2;4;2;4;3;3;1;2;2;2;4;5;4;3;789;5;9094,0919;0,971817298;79,75778547;2,50240616;10,97208855;6,833493744;18,57555342;5;4;3;1;5;1;2;2;6,264775414;10,70297952;26,81564246;14,52513966;661,9396252;206,1221532;53,88509317;531,280077;3,287197232;29364;9,7;5;4;4;5;5;5;2;5;5;5;5;2,333333333;4;1,666666667;3;4,25;2,571428571;5;4,333333333;4;5;5;5;3,05;4,722222222;3,447883598; ;Pot. Vulnerable; ; 
1;13;110;514,2549043;1216,960477;140,6056696;167,3853784;160,3453819;767,7535992;274,1949315;146,7647962;123,3546994;128,1420421;2687,828821;163,2110602;225,7850851;18,24266626;85,77098508;3;3;5;4;5;2;4;4;4;5;3;4;3;2;5;827;5;7771,38284;-4,716981132;41,45658263;5,346534653;5,544554455;6,03960396;11,68316832;5;5;1;5;4;4;3;5;13,34080717;11,79521277;29,78723404;5,319148936;349,3003177;96,9076006;67,65350224;195,049505;10,36414566;13329;25,1;4;3;3;4;3;2;1;4;3;4;2;2,666666667;3,333333333;4,333333333;4,333333333;4,25;3,857142857;4;3,333333333;2;4;3;3;3,783333333;3,222222222;3,620899471; ; ; ; 
1;13;111;329,404197;1309,891889;215,662044;233,0526912;237,7672189;499,4064191;205,6399305;169,5496681;169,5496681;113,8209548;2798,604278;257,3575865;215,899842;39,82337967;175,645303;4;3;4;4;5;2;5;3;3;5;2;4;4;1;2;178;3;16358,1208;-4,230235784;42,0781893;6,372194062;5,792903693;7,603186097;13,32367849;5;4;1;5;4;4;2;4;12,19715957;12,76361656;31,59041394;5,22875817;350,2853744;89,48971596;77,24730656;218,6821144;7,407407407;12059;26,1;4;2;2;4;3;2;1;4;4;3;2;2,333333333;2,333333333;3,666666667;4,333333333;4;3,428571429;4;2,666666667;2;4;4;2,5;3,333333333;3,194444444;3,318783069; ; ; ; 
1;13;112;358,2967549;1036,731985;179,1666632;110,0229908;134,7932877;796,4348616;205,8767325;70,47564149;66,60361378;143,8003524;2515,417077;83,40154731;190,235182;31,30488454;158,5547193;4;4;4;5;5;2;5;5;5;4;3;5;4;1;2;35;2;14480,862;-1,833740831;30,1458671;7,222914072;4,732254047;5,853051059;12,32876712;5;4;2;5;3;4;3;5;10,9375;12,33882784;32,6007326;4,029304029;308,2520048;83,64415157;72,8509061;234,1220423;11,02106969;11395;25,6;4;3;2;3;2;1;1;4;3;3;2;3;2,333333333;4,666666667;4,666666667;4;3,714285714;4;2,666666667;1,333333333;4;3;2,5;3,733333333;2,916666667;3,454761905; ; ; ; 
