SO2;NO2;O3;PM2.5;PM10
3,814814815;28,12903226;35,19354839;14,48387097;21,87096774
3,357142857;24,82142857;42,64285714;15,10714286;20,60714286
4,548387097;19,64516129;62,2;10,16129032;16,61290323
4,733333333;17;72,43333333;13,76666667;17,3
4,103448276;16,37931034;77,79310345;9;10,21052632
4,045454545;10,83333333;78,83333333;14,83333333;24,79166667
3,866666667;8,580645161;72,41935484;19,09677419;31,03225806
3,035714286;8,8;60,16666667;16,46666667;26,2
3,466666667;9,7;58,53333333;16,73333333;25,36666667
3,451612903;16,87096774;48,5483871;14,83870968;23,90322581
3,923076923;26,88461538;37,96153846;12,15384615;18
4;35,70967742;27,16129032;18,38709677;25,06451613
