Sexe;Edat;Edat3;P1;P1_1;P1_2;P2;P3;P4_METROS;P4_HABITACIONES;P5_1;P5_2;P5_3;P5_4;P5_5;P6_1;P6_2;P6_3Febre;P6_3Cansament;P6_3Tos;P6_3DolorsMusculars;P6_3SecrecioNasal;P6_3MalGola;P6_3PerduaOlfacte;P6_3PerduaGust;P6_3DolorEstomacal;P6_3MalCap;P6_3Eczemes;P6_3DolorPit;P6_3Ofec;P6_3Esternuts;P6_3Mucositat;P6_3Congestio;P6_3Diarrea;P6_3Esgotament;P6_4;P6_5;P7;P7_1_TREBALLAR;P7_1_TRAURE_FEM;P7_1_PASSEJAR_GOS;P7_1_METGE_FARMACIA;P7_1_COMPRAR;P7_1_SUPERMERCAT;P7_1_MENJAR_MAJOR;P7_1_PASSEJAR_FILLS;P7_1_PASSEJAR;P7_1_ANAR_HORT;P7_1_PASSEJAR_MAJOR;P7_1_ESPORT;P7_2;P8_1;P8_2;P8_3;P8_4;P8_5;P8_6;P8_7;P8_8;P8_9;P9_Noningú;P9_Sírepartidor;P9_Sícuidadora;P9_Sínetejadora;P9_Sífamiliar;P9_Síamicaoveía;P9_Altre;P9_N.S;P9_N.C;P10;P11;P12;P13;P14;P15;P15_ICO;P15_ERTE;P15_DESEMPLEO;P15_ALIMENTOS;P15_TABLET;P15_MORATORIO_HIPOTECA;P15_AJUDA_FISCAL_AJUNT;P15_CUOTA_AUTONOM;P15_CESE_ACT_AUTONOM;P15_AJUDA_AJUNT_AUTONOM;P15_AJUDA_GENERALITAT_AUTONOM;P15_AJUDA_GENERALITAT;P15_AJUDA_AJUNT;P16_1;P16_2;P17_PerlaTV;P17_Perlaràdio;P17_Pelsdiaris;P17_PerlesxarxessocialsFacebookWhatsAppTwitterTelegram;P17_Altres;P17_N.S;P17_N.C;P17_1_TV;P17_1_RADIO;P17_1_DIARIS;P17_1_XARXES;P17_1_ALTRES;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P18_8;P19_CONFINAMENT;P19_FALTA_VIDA_SOCIAL;P19_FALTA_LLIBERTAT_RUTINES;P19_TREBALL;P19_POR_MALALTIA;P19_EFECTES_PSICOLOGICS;P19_MILLORA_REL_FAMILIARS;P19_PROBLEMES_CONCILIAR;P19_MES_TEMPS;P19_CANVIS_RELACIONS;P19_EFECTES_SOCIOPOLITICS;P19_CAP;P19_NO_SAP;P20_1;P20_2;P20_3;P20_4;P20_5;P20_6;P20_7;P21_1;P21_2;P21_3;P21_4;P21_5;P21_6;P21_7;P21_8;P22_1;P22_2;P22_3;P22_4;P22_5;P22_6;P22_7;P22_8;P22_9;P23_1;P23_2;P23_3;P23_4;P24_MESES;P25;P26;P27;P28
1;33;1,00;3,00;0,00;0,00;2;1;2,00;3,00;1;1;1;3;1;3;;;;;;;;;;;;;;;;;;;;;;1;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;3;2;1;2;2;6;2;1;1;0;1;0;0;1;0;0;0;0;3;5;2;4;3;1;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;2;1;0;0;1;0;0;0;1;;;4;;10;10;10;6;98;8;6;3;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;8;8;9;7;9;8;98;5;6;1;7;5;8;6;4;1;5;1;5;4;5;5;4;1;1;1;1;3,00;1;3;2;3
2;73;3,00;1,00;0,00;1,00;1;1;3,00;4,00;1;1;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3;3;2;2;3;6;6;2;1;1;0;0;0;0;0;0;0;0;3;4;;;;2;;;;;;;;;;;;;;3;3;1;0;0;1;0;0;0;5;;;4;;10;10;10;5;9;9;7;7;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5;5;8;6;1;4;5;98;5;1;4;5;98;3;98;2;2;2;4;2;98;2;4;98;1;4;2;1;3,00;2;10;4;4
2;39;1,00;2,00;1,00;0,00;2;2;2,00;3,00;98;1;1;98;98;2;5,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;2;2;;;;;;;;;;;;;;3;1;2;3;3;3;1;1;3;0;1;0;0;0;0;0;0;0;2;5;6;4;3;2;;;;;;;;;;;;;;1;3;1;0;1;1;0;0;0;8;;2;1;;10;8;10;98;9;10;8;6;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3;5;6;3;3;3;3;6;5;1;4;4;4;3;3;2;4;2;4;4;4;2;4;4;2;4;2;4;3,00;1;6;4;4
1;65;3,00;2,00;0,00;1,00;1;1;3,00;5,00;2;2;1;1;2;3;;;;;;;;;;;;;;;;;;;;;;1;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;3;2;2;2;3;6;6;1;3;1;0;0;0;0;0;0;0;0;3;5;7;;;1;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3;3;0;0;0;1;0;0;0;;;;1;;10;10;10;5;98;10;98;98;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5;5;5;4;4;4;4;98;98;1;1;4;4;3;3;4;2;4;4;2;2;1;2;4;1;1;1;1;4,00;2;99;2;4
2;83;3,00;2,00;0,00;2,00;1;1;3,00;5,00;98;1;1;98;98;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3;1;2;2;3;6;6;2;1;0;0;1;0;1;0;0;0;0;2;4;;;;2;;;;;;;;;;;;;;1;1;1;1;0;0;0;0;0;1;2;;;;10;10;10;98;10;10;8;98;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;5;8;5;5;5;98;98;98;5;3;7;98;7;98;2;1;4;2;4;4;2;2;2;1;1;2;1;3,00;2;99;4;5
2;55;2,00;2,00;0,00;0,00;2;1;3,00;4,00;1;1;2;1;3;2;2,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;;1;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1;3;2;1;2;2;3;6;2;2;1;0;0;0;0;0;0;0;0;3;3;3;;;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1;1;1;1;0;1;0;0;0;1;1;;2;;10;8;10;98;98;9;8;4;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1;4;7;98;4;5;5;7;1;7;8;7;8;7;2;1;2;3;4;4;3;4;2;1;1;3;2;3,00;1;6;4;3
2;37;1,00;3,00;1,00;0,00;2;1;3,00;4,00;1;1;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3;3;1;1;3;3;6;2;2;1;0;0;0;0;0;0;0;0;3;3;7;;;2;;;;;;;;;;;;;;2;2;0;0;0;1;0;0;0;;;;2;;10;8;10;5;7;8;6;98;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3;3;3;6;4;3;4;8;8;6;6;9;9;9;9;2;1;98;4;5;4;2;2;2;4;4;2;1;4,00;5;99;5;5
1;27;1,00;2,00;0,00;0,00;2;1;3,00;2,00;1;1;1;3;3;2;2,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;;1;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;3;2;2;1;2;2;6;2;1;1;0;0;0;0;0;0;0;0;3;4;6;1;2;2;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;;;;1;;10;8;10;98;98;8;7;7;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5;98;98;6;98;4;6;8;7;4;4;8;8;7;7;2;1;2;4;3;3;2;2;4;5;5;2;4;5,00;2;4;5;5
2;40;2,00;4,00;2,00;0,00;2;1;3,00;4,00;1;1;1;2;2;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3;2;2;2;3;6;6;1;1;1;0;0;0;0;0;0;0;0;3;4;6;1;2;2;;;;;;;;;;;;;;2;3;0;0;1;1;0;0;0;;;2;2;;10;9;10;98;10;9;8;98;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5;5;5;8;5;5;98;8;7;5;5;7;7;7;7;2;1;2;2;4;2;2;2;2;5;5;2;2;2,00;2;3;5;6
2;62;2,00;2,00;0,00;0,00;2;1;2,00;3,00;98;2;3;98;98;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3;3;3;3;3;6;2;2;2;0;0;0;0;1;0;0;0;0;1;5;3;;;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3;2;1;0;0;0;0;0;0;1;;;;;9;9;9;1;98;98;3;2;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;4;6;10;98;6;3;98;98;5;3;5;3;98;98;5;98;5;5;5;98;5;98;98;1;1;4;4;1,00;4;5;4;99
