Distrito;Sección;Total;Menos de 16 años;De 16 a 64 años;65 años y más
1;1;837;103;566;168
1;2;1066;151;721;194
1;3;1110;130;734;246
1;5;1157;144;708;305
1;7;745;89;481;175
1;8;967;130;648;189
1;9;1039;173;578;288
1;10;1010;108;714;188
1;11;1381;165;972;244
1;12;803;88;617;98
1;13;1398;182;885;331
1;14;1049;151;728;170
1;17;702;71;409;222
1;19;2274;314;1651;309
1;22;1475;171;927;377
1;23;875;115;612;148
1;24;1165;142;813;210
1;25;981;112;707;162
1;26;1412;181;973;258
1;28;970;109;631;230
1;30;831;98;500;233
1;31;878;127;537;214
1;32;1280;147;750;383
1;34;1665;247;1021;397
2;1;955;136;541;278
2;3;921;126;565;230
2;4;1464;213;895;356
2;6;1334;189;847;298
2;8;1268;201;817;250
2;9;1107;195;706;206
2;10;986;151;629;206
2;13;1315;233;848;234
2;14;783;106;518;159
2;15;1068;121;781;166
2;16;1369;174;904;291
2;18;670;89;386;195
2;19;1112;137;772;203
2;20;993;141;656;196
2;21;813;122;544;147
2;22;1235;159;770;306
2;23;1175;168;754;253
2;24;688;95;441;152
2;25;729;82;508;139
2;26;957;123;654;180
2;30;820;103;571;146
2;31;1090;166;745;179
2;32;890;97;572;221
2;33;1519;236;885;398
2;35;1062;156;610;296
2;36;796;128;471;197
2;37;1306;211;772;323
2;39;623;78;373;172
2;40;892;124;551;217
2;41;800;119;486;195
2;42;1035;159;609;267
2;43;690;93;406;191
2;44;693;99;412;182
2;45;1361;232;828;301
2;46;931;143;545;243
2;47;803;113;483;207
2;50;1099;173;657;269
2;51;1316;206;772;338
2;53;926;159;567;200
2;54;722;88;451;183
2;55;1323;222;769;332
2;57;979;167;579;233
3;1;857;125;521;211
3;2;1583;231;1027;325
3;4;1705;226;1135;344
3;7;1183;129;797;257
3;8;1292;206;838;248
3;10;1697;192;1171;334
3;13;1722;208;1111;403
3;15;1030;142;655;233
3;17;1301;180;855;266
3;18;880;122;561;197
3;19;1311;195;876;240
3;20;1421;190;909;322
3;21;1289;195;860;234
3;23;1418;217;836;365
3;25;1048;142;682;224
3;26;1145;139;680;326
3;27;2402;348;1431;623
3;29;871;132;550;189
3;30;1091;161;697;233
3;32;863;103;543;217
3;33;949;113;590;246
3;34;1265;146;770;349
3;35;1576;197;1005;374
