DT_name;DTBA_name;DT;BA;SC;DTBA;DTSC
1. Ciutat Vella;1.1. la Seu;1;1;1;11;101
1. Ciutat Vella;1.1. la Seu;1;1;2;11;102
1. Ciutat Vella;1.1. la Seu;1;1;3;11;103
1. Ciutat Vella;1.2. la Xerea;1;2;5;12;105
1. Ciutat Vella;1.2. la Xerea;1;2;7;12;107
1. Ciutat Vella;1.2. la Xerea;1;2;8;12;108
1. Ciutat Vella;1.2. la Xerea;1;2;9;12;109
1. Ciutat Vella;1.3. el Carme;1;3;10;13;110
1. Ciutat Vella;1.3. el Carme;1;3;11;13;111
1. Ciutat Vella;1.3. el Carme;1;3;12;13;112
1. Ciutat Vella;1.3. el Carme;1;3;13;13;113
1. Ciutat Vella;1.3. el Carme;1;3;14;13;114
1. Ciutat Vella;1.3. el Carme;1;3;17;13;117
1. Ciutat Vella;1.4. el Pilar;1;4;19;14;119
1. Ciutat Vella;1.4. el Pilar;1;4;22;14;122
1. Ciutat Vella;1.4. el Pilar;1;4;23;14;123
1. Ciutat Vella;1.5. el Mercat;1;5;24;15;124
1. Ciutat Vella;1.5. el Mercat;1;5;25;15;125
1. Ciutat Vella;1.5. el Mercat;1;5;26;15;126
1. Ciutat Vella;1.6. Sant Francesc;1;6;28;16;128
1. Ciutat Vella;1.6. Sant Francesc;1;6;30;16;130
1. Ciutat Vella;1.6. Sant Francesc;1;6;31;16;131
1. Ciutat Vella;1.6. Sant Francesc;1;6;32;16;132
1. Ciutat Vella;1.6. Sant Francesc;1;6;34;16;134
2. l'Eixample;2.1. Russafa;2;1;1;21;201
2. l'Eixample;2.1. Russafa;2;1;3;21;203
2. l'Eixample;2.1. Russafa;2;1;4;21;204
2. l'Eixample;2.1. Russafa;2;1;6;21;206
2. l'Eixample;2.1. Russafa;2;1;8;21;208
2. l'Eixample;2.1. Russafa;2;1;9;21;209
2. l'Eixample;2.1. Russafa;2;1;10;21;210
2. l'Eixample;2.1. Russafa;2;1;13;21;213
2. l'Eixample;2.1. Russafa;2;1;14;21;214
2. l'Eixample;2.1. Russafa;2;1;15;21;215
2. l'Eixample;2.1. Russafa;2;1;16;21;216
2. l'Eixample;2.1. Russafa;2;1;18;21;218
2. l'Eixample;2.1. Russafa;2;1;19;21;219
2. l'Eixample;2.1. Russafa;2;1;20;21;220
2. l'Eixample;2.1. Russafa;2;1;21;21;221
2. l'Eixample;2.1. Russafa;2;1;22;21;222
2. l'Eixample;2.1. Russafa;2;1;23;21;223
2. l'Eixample;2.1. Russafa;2;1;24;21;224
2. l'Eixample;2.1. Russafa;2;1;25;21;225
2. l'Eixample;2.1. Russafa;2;1;26;21;226
2. l'Eixample;2.1. Russafa;2;1;30;21;230
2. l'Eixample;2.1. Russafa;2;1;31;21;231
2. l'Eixample;2.1. Russafa;2;1;32;21;232
2. l'Eixample;2.2. el Pla del Remei;2;2;33;22;233
2. l'Eixample;2.2. el Pla del Remei;2;2;35;22;235
2. l'Eixample;2.2. el Pla del Remei;2;2;36;22;236
2. l'Eixample;2.2. el Pla del Remei;2;2;37;22;237
2. l'Eixample;2.2. el Pla del Remei;2;2;39;22;239
2. l'Eixample;2.2. el Pla del Remei;2;2;40;22;240
2. l'Eixample;2.2. el Pla del Remei;2;2;41;22;241
2. l'Eixample;2.3. Gran Via;2;3;42;23;242
2. l'Eixample;2.3. Gran Via;2;3;43;23;243
2. l'Eixample;2.3. Gran Via;2;3;44;23;244
2. l'Eixample;2.3. Gran Via;2;3;45;23;245
2. l'Eixample;2.3. Gran Via;2;3;46;23;246
2. l'Eixample;2.3. Gran Via;2;3;47;23;247
2. l'Eixample;2.3. Gran Via;2;3;50;23;250
2. l'Eixample;2.3. Gran Via;2;3;51;23;251
2. l'Eixample;2.3. Gran Via;2;3;53;23;253
2. l'Eixample;2.3. Gran Via;2;3;54;23;254
2. l'Eixample;2.3. Gran Via;2;3;55;23;255
2. l'Eixample;2.3. Gran Via;2;3;57;23;257
3. Extramurs;3.1. el Botànic;3;1;1;31;301
3. Extramurs;3.1. el Botànic;3;1;2;31;302
3. Extramurs;3.1. el Botànic;3;1;4;31;304
