DT;Num;Sup_Verde;Sup_Total
Ciutat Vella;39;72885;1689842,069
l'Eixample;13;53932;1733183,611
Extramurs;25;130746;1971688,099
Campanar;58;372873;5237785,237
la Saïdia;37;309986;1943909,139
el Pla del Real;33;211680;1692951,37
l'Olivereta;41;216962;1988804,711
Patraix;37;216583;2872641,063
Jesús;38;171385;2984605,594
Quatre Carreres;66;468547;11325205,82
Poblats Marítims;58;267123;9783488,121
Camins al Grau;45;205355;2367209,493
Algirós;44;174847;2959187,815
Benimaclet;24;62195;1570285,048
Rascanya;35;185284;2628714,467
Benicalap;41;218469;2215853,901
Pobles del Nord;18;47715;15196113,21
Pobles de l'Oest;11;79996;2011130,262
Pobles del Sud;38;57349;66176430,06
